,Job title,Company name,Location,Job type,Exp level,Exp years,Skills
1307,SDA Category Buyer,B.TECH -,"Nasr City, Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Logistics/Supply Chain,Sales/Retail,Purchasing/Procurement,Small Home Appliances,Buyer,purchasing,E-Commerce"
1308,Application Support Engineer,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT),Computer Science,Computer Engineering,Programming,Software Engineering,SQL,Software,Engineering"
1309,fundraising and Business Development Specialist,Dar Alorman  association -,"Mohandessin, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"females_only,Business Development,Sales/Retail,English,NGOS,Business Development,english language,Marketing,sales skills,Fundraising"
1310,Cost Control Engineer,Alforat -,"Glim, Alexandria, Egypt ",Full Time,Experienced,6+ Yrs of Exp,"Engineering - Construction/Civil/Architecture,Quality,Budgets,Engineering,Quality Control,Quality Assurance,troubleshoot,Communication"
1311,Planning Engineer,Tabarak Holding  -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Project/Program Management,Civil,Civil Engineering,Planning,PMP,Primavera,Project,Project Management,Management"
1312,GIS Database Manager,Perfect Presentation -,"6th of October, Giza, Egypt ",Full Time,Experienced,7 - 13 Yrs of Exp,"IT/Software Development,Database,GIS,Computer Science,Information Technology (IT),Software,Database Management,Management"
1313,Mechanical Engineer,ALQIMA Real Estate & Development -,"New Damietta, Damietta, Egypt ",Full Time,Experienced,8 - 10 Yrs of Exp,"Engineering - Mechanical/Electrical,AutoCAD,CAD,Mechanical Engineering,Revit,Mechanical"
1314,SAP Business one Consultant,El-Sewedy Electrometer -,"6th of October, Giza, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,SAP,Crystal Report,Sap B1,ERP,Information Technology (IT),Microsoft Office,English,HANA"
1315,Demand Forecasting Supervisor,Ibn Sina Pharma -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 6 Yrs of Exp,"Logistics/Supply Chain,Pharmaceutical,Communication skills,Logistics,Forecasting,Supply Chain,Planning,Pharmacy,Pharmaceutical Industry,Sales"
1316,Media Buyer specialist,iCAREER -,"Smouha, Alexandria, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Marketing/PR/Advertising,Media Buyer,Media Buying,Marketing,Advertising"
1317,Electrical Technical Office Engineer,Power Solutions -,"6th of October, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Engineering - Mechanical/Electrical,Electrical Engineering,AutoCAD,Electrical Power,Grounding Systems,Technical Office,Lighting,2D Drawing,Customer Support,BS EN 50522"
1318,Technical Office Engineer (Bidding Pricing Proposals) - Sheet Metal,Power Solutions -,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Purchasing/Procurement,Engineering - Mechanical/Electrical,Industrial Engineering,Mechanical Engineering,SolidWorks,AutoCAD,Sheet Metal,Technical Office,Microsoft Office,Inventor"
1319,Continuous Improvement Engineer,Multi M Group  -,"Qalubia, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"males_only,Manufacturing/Production,Engineering - Mechanical/Electrical,Lean manufacturing,Manufacturing,Engineering,LEAN"
1320,Steel Structural Design Engineer,FAMSUN Egypt Industry S.A.E -,"Ain Sokhna, Suez, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"males_only,Engineering - Construction/Civil/Architecture,Design,Engineering,SAP2000,Steel,Steel Structures,Steel Structures design,English"
1321,Risk Manager,Mubasher -,"Nasr City, Cairo, Egypt ",Full Time,Manager,3 - 5 Yrs of Exp,"Accounting/Finance,Finance,Brokerage"
1322,Senior Payable Accountant, Cairo Three A  Poultry  -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"Accounting/Finance,Accounting,ERP,Oracle"
1323,Quality Assurance Engineer,El Abd Group -,"Alsadat City, Monufya, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Quality,Engineering - Mechanical/Electrical,Engineering - Other,Engineering,Mechanical Engineering,quality,Quality Management,Quality Assurance"
1324,Sales Automation (Sales Buzz) Section Head,Confidential -,"Sheikh Zayed, Giza, Egypt ",Full Time,Manager,4 - 7 Yrs of Exp,"IT/Software Development,Sales Buzz,Sales Automation,SQL,Microsoft SQL Server,Database SQL Server,MS Visual Studio,Microsoft Excel,SAP"
1325,Marketing Executive,International Duty Free -,"Maadi, Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"females_only,Marketing/PR/Advertising,Marketing,English,Market Research,Online Marketing,Digital Marketing,E-Marketing,Social Media,Advertising Media,Media"
1326,Ruby ON Rails Developer,Tadarab -,"Victoria, Alexandria, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Ruby,Ruby on Rails,Software Development,Information Technology (IT)"
1327,"Export Team Leader (in Sugar, Chocolate and Sugar Confectionery ) International Project",Pillars -,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Logistics/Supply Chain,Project/Program Management,Purchasing/Procurement,Procurement,Export Sales,Development,sugar confectionary,sales skills,team leader,English"
1328,Operations Coordinator acting as Treasury Accountant,Nile University -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Accounting/Finance,Administration,Accounting,Treasury,Accounts Receivable"
1329,Personnel & Payroll Specialist,Nile University -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"Human Resources,Human Resources,Business Administration,Management"
1330,OTA Channel& contracting Manager.,winsome -,"Nasr City, Cairo, Egypt ",Full Time,Manager,5 - 10 Yrs of Exp,"Tourism/Travel,Channel Management,OTA,contracting"
1331,Marketing Executive,Helm Organization -,"Maadi, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Marketing/PR/Advertising,Media/Journalism/Publishing,Marketing,Media,Social Media,Digital Marketing,Market Research,Mass Communication,Writing Skills"
1332,Microbiologist - Beni Suef,FRIDAL -,"Wosta, Beni Suef, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"R&D/Science,Quality,HACCP,Food Safety,Food,QA,QC,Quality Control,Quality Assurance,Quality"
1333,Senior Contracts & Claims Engineer,Confidential -,"Downtown, Cairo, Egypt ",Full Time,Experienced,7 - 10 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Contracts,engineer,Engineering,Civil Engineering,Architecture,FIDIC,contract manahment"
1334,Accountant,MayaGas -,"Mokattam, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Accounting/Finance,Banking,accountant,Accounting"
1335,Sales Specialist,30YRS -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 5 Yrs of Exp,"Business Development,Marketing/PR/Advertising,Sales/Retail,Sales,Customer Service,Sales Target,Sales Specialist,sales skills,Digital Marketing,Facebook Marketing"
1336,Chief Accountant,MayaGas -,"Mokattam, Cairo, Egypt ",Full Time,Experienced,7 - 15 Yrs of Exp,"Accounting/Finance,Banking,Accounting,Finance,Financial Management"
1337,HR Recruitment Specialist,Smartverse -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Human Resources,Interviewing,Human Resources (HR),Recruitment,Management,Recruiting,Personnel,Microsoft Office,Blue Collar,Skills"
1338,Core Banking Technical Support,SSC Egypt -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Banking,Banking,Oracle,SQL"
1339,Quality Assurance Executive,Kama Manufacturing -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,1 - 2 Yrs of Exp,"Quality,ISO 9001,Quality Assurance"
1340,Electrical Engineer,EL Doha -,"10th of Ramadan City, Sharqia, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"males_only,Installation/Maintenance/Repair,Engineering - Mechanical/Electrical,Electrical,Electrical Engineering,Engineering,Electrical manufacturing"
1341,Production Manager,Marbella For Food Industry  -,"6th of October, Giza, Egypt ",Full Time,Manager,10+ Yrs of Exp,"Operations/Management,Manufacturing/Production,Engineering - Mechanical/Electrical,FMCG,Food Production,LEAN,Maintenance,Management,Manufacturing,Planning"
1342,GRC Engineer,Paymob Solutions -,"Maadi, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"IT/Software Development,Other,Engineering - Other,CISA,Compliance,Computer Science,GRC,Grp,ISO 27001,Risk Management"
1343,Sales Engineer (Oil & Gas) - Giza,Pillars -,"Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Sales/Retail,Engineering - Mechanical/Electrical,Engineering - Oil & Gas/Energy,Sales Engineering,Engineering,Industrial,Management,Sales Target,Skills,sales skills"
1344,Sales Marketing Executive,euro trust capital  -,"Cairo, Egypt ",Full Time,Experienced,1 - 10 Yrs of Exp,"Marketing/PR/Advertising,Sales/Retail,Market Research,media,Marketing,sales skills,Sales,Social Media,Sales Target,Communication"
1345,Network & Security Supervisor,Confidential -,"Cairo, Egypt ",Full Time,Experienced,5+ Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,CEH,CCNP,Computer Engineering,PCNSE,NSE4,Information Technology (IT),Computer Science,Networking"
1346,Application Support Engineer,CloudzLab -,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"IT/Software Development,Banking,Computer Science,core,Core Banking,Customer Support,Engineering,Information Technology (IT)"
1347,Senior Development Engineer,Confidential -,"Giza, Egypt ",Full Time,Experienced,4 - 10 Yrs of Exp,"IT/Software Development,Laravel,HTML5,Information Technology (IT),PHP,Software Development,JavaScript,Computer Science,Programming,Software Engineering"
1348,RPA Senior Consultant - Blue Prism,Robiquity -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,6 - 10 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Automation,RPA,Computer Engineering,Computer Science,SQL,Blueprism,Automation Anywhere,Microsoft Power Automate"
1349,RPA Associate Consultant - Blue prism,Robiquity -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,0 - 3 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Engineering - Other,UI Path,RPA,Java,C#,HTML,CSS,VB"
1350,Mechanical Design and Production Engineer,"Arabian Monayri for Industry, Shipping & Trade -","Nasr City, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Creative/Design/Art,Manufacturing/Production,Engineering - Mechanical/Electrical,CAD,Communication skills,Manufacturing,Mechanical,Mechanical Engineering,Mechanical Production,Production"
1351,Senior Cost Controller,COLAS RAIL Egypt -,"Downtown, Cairo, Egypt ",Full Time,Experienced,5 - 10 Yrs of Exp,"Accounting/Finance,Engineering - Construction/Civil/Architecture,Engineering - Mechanical/Electrical,Finance,Cost Control,English,Communication Skills,ERP,IFRS,French"
1352,R&D Pharmacist,Global Napi Pharmaceuticals -,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"R&D/Science,Quality,Pharmaceutical,Research,Science,Pharmacy,SOP,Microsoft Office,Cosmetics,Production"
1353,Content Creator & Moderator,Infinity Clinic Pharma -,"Nasr City, Cairo, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"females_only,Writing/Editorial,Marketing/PR/Advertising,Media/Journalism/Publishing,E-Marketing,English,Marketing,media,SEO,Social Media,Design"
1354,Marketing and PR Specialist,Sigma for Imp & Exp & Opera hearing Solutions -,"Heliopolis, Cairo, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"females_only,Marketing/PR/Advertising,Sales/Retail,Media/Journalism/Publishing,Advertising,communications,Content,Content Writing,E-Marketing,English,Marketing"
1355,Planning Section Head,Royal Herbs  -,"Alsadat City, Monufya, Egypt ",Full Time,Experienced,4 - 6 Yrs of Exp,"males_only,Manufacturing/Production,Engineering - Mechanical/Electrical,Engineering,Planning,Supply Chain,Management,Planning Engineering,Forecasting,Production Engineering,Production Planning"
1356,HR Generalist-Real estate,Lasirena Group -,"Cairo, Egypt ",Full Time,Experienced,2 - 3 Yrs of Exp,"Human Resources,Operations/Management,Administration,Real Estate,Recruitment,HR,Human Resources (HR),business,Management,hr management"
1357,Purchasing Specialist,etisal for advanced industries  -,"6th of October, Giza, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Logistics/Supply Chain,Purchasing/Procurement,Logistics,Purchasing,Supply Chain,Procurement"
1358,Project Manager,Egabi FSI -,"Sheraton, Cairo, Egypt ",Full Time,Experienced,4+ Yrs of Exp,"IT/Software Development,Project/Program Management,Engineering - Telecom/Technology,Project Management,Computer Science,Information Technology (IT),Engineering,Banking,Microfinance,Mortgage"
1359,Java Team Lead,Fawry for Banking Technology and Electronic Payments S.A.E -,"Giza, Egypt ",Full Time,Manager,6 - 8 Yrs of Exp,"IT/Software Development,Operations/Management,Engineering - Telecom/Technology,Java,Management,Azure,Java Jee,ORM,SQL,Angular"
1360,Search Engine Optimization Specialist (Remote),WGG Advertising Agency -,"Cairo, Egypt ",Full Time,Experienced,1 - 3 Yrs of Exp,"Marketing/PR/Advertising,Digital Marketing,Google Analytics,SEO,Google search console,Communication skills,HTML"
1361,HR Manager,Confidential -,"khanka, Qalubia, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Administration,Human Resources,Operations/Management,Human Resources (HR),Recruitment,HR,Personnel,English,Communication,OD"
1362,Treasury Accountant For Real Estate,SAK Developments -,"New Cairo, Cairo, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"Accounting/Finance,Accounting,Finance,Treasury"
1363,District Manager-Cairo (Anti Infective),Confidential -,"Cairo, Egypt ",Full Time,Experienced,3 - 5 Yrs of Exp,"Medical/Healthcare,Sales/Retail,Pharmaceutical,Sales,Sales Target,sales skills,District Management,Management,Pharmacy,MEDICINE"
1364,Sales Operation Specialist,Fawry for Banking Technology and Electronic Payments S.A.E -,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Operations/Management,Sales/Retail,Reporting,sales skills,Sales,workforce,analytical"
1365,Assistant Product Manager,Nahdet Misr Publishing Group -,"Giza, Egypt ",Full Time,Experienced,2 - 4 Yrs of Exp,"Marketing/PR/Advertising,Project/Program Management,Marketing,Management,Product Management,Product,Project Management,Project"
1366,Senior Export Sales Engineer,3Brothers -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,3 - 6 Yrs of Exp,"Sales/Retail,Engineering - Mechanical/Electrical,engineer,Engineering,Export,Export Sales,Sales,sales skills,Sales Target,Sales engineer"
1367,Recruitment Specialist,GPS -,"Heliopolis, Cairo, Egypt ",Full Time,Entry Level,1 - 3 Yrs of Exp,"Human Resources,Hiring,Human Resources (HR),Recruitment,Talent acquisition,Mass Hiring,Sourcing"
1368,Junior SW Quality Assurance Engineer,Ejada  -,"Cairo, Egypt ",Full Time,Entry Level,3 - 5 Yrs of Exp,"IT/Software Development,Quality Assurance,Quality Control,Computer Science"
1369,SW Quality Assurance Lead,Ejada  -,"Cairo, Egypt ",Full Time,Experienced,10+ Yrs of Exp,"IT/Software Development,CMMI,Quality Control,Information Technology (IT),Software,QA,Quality Assurance,quality"
1370,Customer Care Quality Coach,Hands of Hope Physical Therapy & Wellness -,"Cairo, Egypt ",Full Time,Experienced,3 - 7 Yrs of Exp,"Customer Service/Support,Quality,Customer Service,Call Center,Coaching,Monitoring,quality,Customer Care,Customer Support,Training"
1371,HR Manager,B-Solution -,"6th of October, Giza, Egypt ",Full Time,Manager,1 - 10 Yrs of Exp,"Administration,Human Resources,Operations/Management,Human Resources (HR),Hr manager,HR,Manager,Personnel,Recruitment"
1372,Procurement Manager - Engineering,Core Construction and Finishing  Egypt -,"Heliopolis, Cairo, Egypt ",Full Time,Manager,10 - 15 Yrs of Exp,"Engineering - Construction/Civil/Architecture,Logistics/Supply Chain,Purchasing/Procurement,Purchasing,Construction,Engineering,Finishing,Logistics,Procurement,Supply Chain"
1373,Architect Site Engineer,The WaterWay Developments  -,"New Capital, Cairo, Egypt ",Full Time,Experienced,5 - 8 Yrs of Exp,"Engineering - Construction/Civil/Architecture,AutoCAD,Civil Engineering,Architecture,photoshop,Engineering,Revit"
1374,Senior backend developer – java,Informatique Education -,"Cairo, Egypt ",Full Time,Experienced,3+ Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Computer Engineering,Computer Science,Information Technology (IT),Agile,Angular,Design,Engineering,Java"
1375,Junior Accountant,Fawry for Banking Technology and Electronic Payments S.A.E -,"6th of October, Giza, Egypt ",Full Time,Entry Level,1 - 2 Yrs of Exp,"Accounting/Finance,Accounting,Communication,Communication skills,Finance,Microsoft Office"
1376,SAP HCM Consultant,Confidential -,"Sheikh Zayed, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,HCM,SAP Human Capital Management,Payroll,PM,SAP"
1377,Odoo Implementer -6th october,B-Solution -,"6th of October, Giza, Egypt ",Full Time,Experienced,2 - 5 Yrs of Exp,"IT/Software Development,Engineering - Telecom/Technology,Information Technology (IT),Computer Science,ERP,Odoo,IT,Business Administration,Business Processes,Open Source"
